fold,evaluation_start,evaluation_end,strategy,seed_count,initial_value,final_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,trade_count,total_transaction_cost
2018,2018-01-01 00:00:00+00:00,2018-12-31 00:00:00+00:00,cash,1,10000.0,10000.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
2018,2018-01-01 00:00:00+00:00,2018-12-31 00:00:00+00:00,buy_and_hold,1,10000.0,2744.1891662485664,-0.7255810833751434,-0.726554219079238,0.8112797722994752,-1.1858223549980873,-1.5637757101478202,-0.8153271113852912,-0.8911199062726829,1.0,10.0
2018,2018-01-01 00:00:00+00:00,2018-12-31 00:00:00+00:00,ma_10_30,1,10000.0,6132.940513020801,-0.38670594869791997,-0.38752914865294186,0.39094686260278716,-1.0577980112284935,-1.4232216735610206,-0.4242362289390246,-0.9134749043525026,11.0,85.97489273850563
2018,2018-01-01 00:00:00+00:00,2018-12-31 00:00:00+00:00,momentum_20,1,10000.0,6740.591035883328,-0.32594089641166724,-0.3266709243615499,0.370860779680154,-0.8806328704865414,-1.1984954726813244,-0.41921528676301534,-0.77924382692232,31.0,258.5063432051091
2018,2018-01-01 00:00:00+00:00,2018-12-31 00:00:00+00:00,random,30,10000.0,4762.346196877482,-0.5237653803122517,-0.52458423977539,0.552379570723017,-1.2656733121889063,-1.5897525499771967,-0.643345487892873,-0.7663836276427822,121.86666666666666,835.1991401042679
2019,2019-01-01 00:00:00+00:00,2019-12-31 00:00:00+00:00,cash,1,10000.0,10000.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
2019,2019-01-01 00:00:00+00:00,2019-12-31 00:00:00+00:00,buy_and_hold,1,10000.0,18669.788720182616,0.8669788720182616,0.8701838041816972,0.6809982800172182,1.2557931337805692,1.9864743692358369,-0.48982813000684766,1.7765084340287525,1.0,10.0
2019,2019-01-01 00:00:00+00:00,2019-12-31 00:00:00+00:00,ma_10_30,1,10000.0,17136.497011856685,0.7136497011856686,0.7161873345529655,0.5760088134513099,1.2227283083296288,1.9160646167459396,-0.4245973861588387,1.686744567676272,13.0,235.01169721788781
2019,2019-01-01 00:00:00+00:00,2019-12-31 00:00:00+00:00,momentum_20,1,10000.0,21762.358460141484,1.1762358460141482,1.1808898093087512,0.551861953475822,1.685020869329804,2.8028633790690995,-0.3792717214811693,3.113571991861202,31.0,636.4105634712164
2019,2019-01-01 00:00:00+00:00,2019-12-31 00:00:00+00:00,random,30,10000.0,12769.484665527767,0.276948466552777,0.2779672266468921,0.473891007216713,0.6543954417878982,1.1013651590815265,-0.36103566852305524,1.125345087360404,121.86666666666666,1579.6767915180928
2020,2020-01-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,cash,1,10000.0,10000.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
2020,2020-01-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,buy_and_hold,1,10000.0,40225.63380421095,3.0225633804210945,3.0225633804210945,0.7214569209932103,2.321351313075459,3.2926721460082407,-0.5186169126186414,5.828123431531242,1.0,10.0
2020,2020-01-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,ma_10_30,1,10000.0,48281.946193278076,3.8281946193278076,3.8281946193278076,0.48881494859383795,3.4678580200767017,6.283889883354139,-0.1654028104206262,23.14467698337501,13.0,178.87238478934205
2020,2020-01-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,momentum_20,1,10000.0,44941.52231535213,3.494152231535213,3.494152231535213,0.48652100149076477,3.3337963754140603,6.07311485334103,-0.18301417476847892,19.09224919848679,29.0,473.3634168518664
2020,2020-01-01 00:00:00+00:00,2020-12-31 00:00:00+00:00,random,30,10000.0,17825.530241749955,0.7825530241749957,0.7825530241749957,0.5304714724601312,1.3543861335688723,2.0319142450903795,-0.40747699131199056,2.587825472533073,122.26666666666667,1374.5915312330103
2021,2021-01-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,cash,1,10000.0,10000.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
2021,2021-01-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,buy_and_hold,1,10000.0,15747.352341921893,0.5747352341921892,0.5767009299197075,0.8050321271992078,0.9666474912047645,1.4450709334501513,-0.5306185040984173,1.0868466242043133,1.0,10.0
2021,2021-01-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,ma_10_30,1,10000.0,11784.767324841523,0.1784767324841523,0.17900853549107376,0.5828719671360636,0.5725658597320173,0.8509066775255306,-0.44037147986828795,0.406494388657081,14.0,160.110502267858
2021,2021-01-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,momentum_20,1,10000.0,16674.58783466292,0.6674587834662922,0.6698026627287599,0.587083001030327,1.1652445914956147,1.8041289270988923,-0.3013720663678121,2.2225107681721687,40.0,557.9012699280241
2021,2021-01-01 00:00:00+00:00,2021-12-31 00:00:00+00:00,random,30,10000.0,10956.125509405716,0.09561255094057171,0.09610795133378641,0.5598140812603936,0.29347080093437755,0.49408619659232833,-0.4237802955609821,0.45118577432496754,121.86666666666666,1418.9358632586031
2022,2022-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,cash,1,10000.0,10000.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
2022,2022-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,buy_and_hold,1,10000.0,3466.9940498841706,-0.6533005950115829,-0.654308078028772,0.6354748666890938,-1.3482813827832911,-1.7715848018670046,-0.6692283835287909,-0.9777052111547552,1.0,10.0
2022,2022-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ma_10_30,1,10000.0,5453.03444854169,-0.45469655514583096,-0.45560425768358315,0.3638514273189673,-1.48436159613185,-1.8506387864545313,-0.5045328263736412,-0.9030220312090792,20.0,146.27323806381796
2022,2022-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,momentum_20,1,10000.0,5203.974235121038,-0.47960257648789617,-0.48053554157976486,0.34433543607929445,-1.7264954401128756,-2.1856526469176565,-0.49413664807565516,-0.9724750095973292,48.0,325.58307058764564
2022,2022-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,random,30,10000.0,5942.012891529037,-0.4057987108470964,-0.40657536487261114,0.4428289792486249,-1.0496620297953796,-1.3408150020516023,-0.5238194591061011,-0.7373474912589345,121.86666666666666,959.6546790410349
2023,2023-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,cash,1,10000.0,10000.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
