,portfolio_value
2018-01-01 00:00:00+00:00,10000.0
2018-01-02 00:00:00+00:00,10985.040374139908
2018-01-03 00:00:00+00:00,11145.540550458716
2018-01-04 00:00:00+00:00,11437.505317517202
2018-01-05 00:00:00+00:00,12779.50128440367
2018-01-06 00:00:00+00:00,12850.989357798166
2018-01-07 00:00:00+00:00,12838.358684028095
2018-01-08 00:00:00+00:00,12838.358684028095
2018-01-09 00:00:00+00:00,12377.500343766085
2018-01-10 00:00:00+00:00,12359.276879936417
2018-01-11 00:00:00+00:00,11058.130131328828
2018-01-12 00:00:00+00:00,11532.26902138403
2018-01-13 00:00:00+00:00,11845.392649842048
2018-01-14 00:00:00+00:00,11360.200091561093
2018-01-15 00:00:00+00:00,11399.629030392602
2018-01-16 00:00:00+00:00,9478.244202155296
2018-01-17 00:00:00+00:00,9229.213644123025
2018-01-18 00:00:00+00:00,9465.376449915231
2018-01-19 00:00:00+00:00,9574.672595146994
2018-01-20 00:00:00+00:00,10640.247984305397
2018-01-21 00:00:00+00:00,10621.367219408901
2018-01-22 00:00:00+00:00,9970.714190392677
2018-01-23 00:00:00+00:00,9913.250830571602
2018-01-24 00:00:00+00:00,10361.100190446974
2018-01-25 00:00:00+00:00,10269.888508191298
2018-01-26 00:00:00+00:00,10189.622227806301
2018-01-27 00:00:00+00:00,10435.255109973023
2018-01-28 00:00:00+00:00,10750.482327553007
2018-01-29 00:00:00+00:00,10303.636830625897
2018-01-30 00:00:00+00:00,9218.126065657638
2018-01-31 00:00:00+00:00,9322.836898739339
2018-02-01 00:00:00+00:00,8364.603841559298
2018-02-02 00:00:00+00:00,8054.675630793171
2018-02-03 00:00:00+00:00,8368.589898962562
2018-02-04 00:00:00+00:00,7549.599847693206
2018-02-05 00:00:00+00:00,6344.018790239187
2018-02-06 00:00:00+00:00,7072.5538421051715
2018-02-07 00:00:00+00:00,6951.515761604072
2018-02-08 00:00:00+00:00,7539.183544838735
2018-02-09 00:00:00+00:00,7537.339390704736
2018-02-10 00:00:00+00:00,7537.339390704736
2018-02-11 00:00:00+00:00,7104.937742752528
2018-02-12 00:00:00+00:00,7801.1019291089
2018-02-13 00:00:00+00:00,7514.228536587283
2018-02-14 00:00:00+00:00,7508.120218016644
2018-02-15 00:00:00+00:00,7508.120218016644
2018-02-16 00:00:00+00:00,7508.120218016644
2018-02-17 00:00:00+00:00,8165.765713854529
2018-02-18 00:00:00+00:00,8165.454736913179
2018-02-19 00:00:00+00:00,8165.454736913179
2018-02-20 00:00:00+00:00,8165.454736913179
2018-02-21 00:00:00+00:00,8165.454736913179
2018-02-22 00:00:00+00:00,8165.454736913179
2018-02-23 00:00:00+00:00,8165.454736913179
2018-02-24 00:00:00+00:00,7780.947322111072
2018-02-25 00:00:00+00:00,7759.977204385434
2018-02-26 00:00:00+00:00,7759.977204385434
2018-02-27 00:00:00+00:00,7759.977204385434
2018-02-28 00:00:00+00:00,7759.977204385434
2018-03-01 00:00:00+00:00,8174.726129500209
2018-03-02 00:00:00+00:00,8275.800105501188
2018-03-03 00:00:00+00:00,8576.856214660282
2018-03-04 00:00:00+00:00,8593.950218722648
2018-03-05 00:00:00+00:00,8639.261831606116
2018-03-06 00:00:00+00:00,8047.003323591608
2018-03-07 00:00:00+00:00,8056.853976525974
