fold,seed,initial_value,final_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,trade_count,total_transaction_cost
2018,42,10000.0,3817.440761443075,-0.6182559238556925,-0.6192645379587502,0.6864084341358249,-1.056399957538657,-1.3746582970374395,-0.718951191683965,-0.8613443375874744,96,749.2032243107615
2018,123,10000.0,3834.6472191508374,-0.6165352780849163,-0.6175437131449019,0.6808829192858494,-1.0641928658183692,-1.3854007947466511,-0.747165116151002,-0.8265157189433029,91,562.2427928722707
2018,2026,10000.0,4070.1596007044304,-0.592984039929557,-0.5939879312283722,0.717748833016792,-0.8925609529155575,-1.203295056885288,-0.7626805496220044,-0.7788161524805652,92,556.1479730433124
2019,42,10000.0,17177.719547068657,0.7177719547068657,0.7203270477641746,0.5317982274083132,1.2799696054448308,2.1963326460123604,-0.39600266941007034,1.8189954346450592,79,1294.8373906350166
2019,123,10000.0,12461.540918923603,0.24615409189236037,0.24690770226626557,0.4997085303763229,0.6842036378578127,1.1563673885099215,-0.3850895049231472,0.6411696478602845,73,925.2488881576759
2019,2026,10000.0,19641.061826974088,0.9641061826974089,0.9677519932195886,0.5899470219613027,1.438001342944018,2.3696560980926296,-0.3970199963685479,2.4375396757629266,85,1553.2313518515853
2020,42,10000.0,19826.953444137023,0.9826953444137023,0.9826953444137023,0.6093448008127982,1.4648330655021473,1.9251593540809135,-0.5135393816512643,1.9135734853554691,84,930.8260572025648
2020,123,10000.0,18329.293745907704,0.8329293745907704,0.8329293745907704,0.6476343467485179,1.2906683178588667,1.7749206399187984,-0.46715308606677197,1.7829902005008196,102,1239.7498677015215
2020,2026,10000.0,33236.25781973622,2.3236257819736226,2.3236257819736226,0.5070484351075422,2.6197567390043845,4.725683996814299,-0.19284142554115336,12.049411973869425,92,1544.1584997068558
2021,42,10000.0,11201.376511370072,0.12013765113700714,0.12048683023973616,0.6487202596414547,0.49895554493266026,0.7289412040709353,-0.4851865888288608,0.2483309164224144,104,1103.115785634935
2021,123,10000.0,13287.174628981089,0.3287174628981089,0.3297553414496919,0.6081529923844974,0.7737904658615743,1.1259726494017264,-0.3656239319413427,0.901897585584181,123,1656.0365184731627
2021,2026,10000.0,11468.738366613756,0.14687383666137555,0.14730569653450853,0.6286775513657281,0.530450792723865,0.798434437520775,-0.5356787097966218,0.2749888950980249,98,1307.1442175416248
2022,42,10000.0,2197.099181890251,-0.7802900818109748,-0.7812029022100696,0.5383136677943958,-2.541658438016715,-3.0685640669954966,-0.7842246388384456,-0.996146848136713,90,462.58189020697796
2022,123,10000.0,3516.1491485839083,-0.6483850851416092,-0.6493932920965442,0.5175146008468172,-1.7593095217502546,-2.2099158057419395,-0.6781443681338974,-0.9576033107574574,58,336.3534491955861
2022,2026,10000.0,2906.368789970762,-0.7093631210029239,-0.7103480810832592,0.5910152461109629,-1.7932211847136537,-2.2761452720875384,-0.7443689890347186,-0.954295640397947,57,382.32072912664813
2023,42,10000.0,11507.1498008263,0.15071498008262996,0.15115886062596906,0.3159783708506256,0.600976247571408,0.9873537063207481,-0.18402417815257655,0.8214076114533251,108,1240.5028852332566
2023,123,10000.0,14976.042383542446,0.4976042383542447,0.49926678802213376,0.32319496194801134,1.4124048628134829,2.4845709181475972,-0.22180294078598173,2.250947558463067,103,1448.121908023188
2023,2026,10000.0,26630.118323629646,1.6630118323629643,1.6701871619451252,0.38068262936099817,2.7691481608196917,5.514011430101305,-0.15048262996323536,11.098870097852298,95,1903.9231068246045
2024,42,10000.0,13866.116442467302,0.3866116442467302,0.4712324217604684,0.39577881917955754,1.1712762314973277,1.8820539457110286,-0.2755946926455388,1.709874806502724,87,1036.8613919724492
2024,123,10000.0,11513.02834516971,0.15130283451697113,0.18107899686220996,0.4055754563552227,0.611244887668611,0.9282249770052304,-0.30983623011148,0.5844345472350254,77,754.2643832501892
2024,2026,10000.0,8146.326550656914,-0.18536734493430862,-0.21507990998728765,0.36868158076319585,-0.47267613425534677,-0.659540497940685,-0.4135403284021538,-0.5200941606307615,85,793.1598102027575
